ID,Application
0006F647F9488D7A,AIM 7.5.11.9 (custom AppID + JL support)
01B29F0DC90366BB,AIM 5.9.3857
044A50E6C87BC012,Classic FTP Plus 2.15
06059DF4B02360AF,Kadu 0.10.0 / 0.6.5.5
0A1D19AFE5A80F80,FileZilla 2.2.32
0A79A7CE3C45D781,CuteFTP 7.1 (Build 06.06.2005.1)
0CFAB0EC14B6F953,Express NewsPictures 2.41 (Build 08.05.07.0)
0EF606B196796EBB,HP MediaSmart Photo
1A89D1BEFE8E90E3,Adobe Acrobat Distiller Pro XI 32-bit 11.0.0779
1B29F0DC90366BB,AIM 5.9.3857
1CF97C38A5881255,MediaPortal 1.1.3
1CFFBE973A437C74,DSPlayer 0.889 Lite
1EB796D87C32EFF9,Firefox 5.0
2D61CCCB4338DFC8,BitTorrent 5.0.0 / 6.0.0 / 7.2.1 (Build 25548)
2DB8E25112AB4453,Deluge 1.3.12 / 1.3.3
2FF9DC8FB7E11F39,I2P 0.8.8 (no window)
3C93A049A30E25E6,J. River Media Center 16.0.149
3DC02B55E44D6697,7-Zip 3.13 / 4.20
3E9850346F375D41,Foxit Phantom PDF 7.2.2.929
3ED70EF3495535F7,Gravity 3.0.4
3EDF100B207E2199,digiKam 1.7.0 (KDE 4.4.4)
4FC234E682FA0FFF,Fineprint  pdfFactory
4A7E4F6A181D3D08,broolzShare
4A49906D074A3AD3,Media Go 1.8 (Build 121)
4AA2A5710DA3EFE0,DCSharpHub 2.0.0
4AC866364817F10C,Microsoft Edge (Chromium)
4B8A4727AA452343,Firefox 56.0.2
4B6925EFC53A3C08,BCWipe Task Manager 3.02.3 / 3.06.5.5
4C58CF9096EF3EFD,Kindle for PC 1.24.3 
4CB9C5750D51C07F,Microsoft Movies & TV (Microsoft.ZuneVideo)
4CDF7858C6673F4B,Bullet Proof FTP 1.26
4DD48F858B1A6BA7,Free Download Manager 3.0 (Build 852)
4FCEEC8E021AC978,CoffeeCup Free FTP 3.5.0.0
4FD44F9938892CAA,CDBurnerXP
5E877DB63DEC2F8,JetBrains dotPeek
5B186FC4A0B40504,Dtella 1.2.5 (Purdue network only)
5BB830F67194431A,7-Zip 18.05 (x64)
5C450709F7AE4396,Firefox 1.0 / 2.0 / 3.0 (32-bit)
5D6F13ED567AA2DA,Microsoft Office Outlook 2010 x64
5D696D521DE238C3,Chrome
5DA8F997FD5F9428,Internet Explorer x64
5DF4765359170E26,Firefox 4.0.1
6DED8E6DAA05CB0C,Cyberlink PhotoDirector 8
6A316AA67A46820B,Core FTP LE 1.3c (Build 1437) / 2.2 (Build 1689)
6B3A5CE7AD4AF9E4,IceChat 9 RC2
6BB98FB8CDC26D69,Calculator (Windows built-in)
6BC3383CB68A3E37,iTunes 7.6.0.29 / 8.0.0.35
6D2BAC8F1EDF6668,Microsoft Outlook 2013/2016/365
6E855C85DE07BC6A,Microsoft Office Excel 2010 x64
6F647F9488D7A,AIM 7.5.11.9 (custom AppID + JL support)
7A4BA998575FF2A4,FreeCommander XE 2016 Build 715 32-bit
7B7F65AAECA20A8C,Dropbox App 5.4.24
7C2916AFD6F116A6,LibreOffice 5.1.0.3 Base
7CB0735D45243070,CDisplay 1.8.1.0
7DCA40FD2A5A971F,LibreOffice 5.1.0.3
7E4DCA80246863E3,Windows Control Panel
8A461F82E9EB4102,Foxit Reader 7.2.0.722
8BD5C6433CA967E9,ACDSee Photo Manager 2009 (v11.0 Build 113)
8DCCA8B24A5E822E,CDBurnerXP 4.5.7.6623
8DEB27DFA31C5C2A,CoffeeCup Free FTP 4.4 (Build 1904)
8F3D7202AA5D4C01,ImgBurn 2.5.8.0
8F852307189803B8,Far Manager 2.0.1807
8FD1364019DC2115,Calibre E-Book Manager 2.33
9A464053CD82DE6D,LINE Messenger
9AD1EC169BF2DA7F,FlylinkDC++ r405 (Build 7358)
9AD84C52EFEAE190,1Password 4.6.0.604
9C32E2313792E6E8,Microsoft Built-in Disk Cleanup (Win10)
9CE6555426F54B46,HxD 1.7.7.0
9D1F905CE5044AEE,Edge Browser
9D78513A8998829C,Microsoft Built-in Run Dialog (Win7 + Win10)
9E0B3F677A26BBC4,BitKinex 3.2.3
9EDAFE4BA4B22CE7,Eclipse IDE Oxygen (4.7.3a)
9FDB10E18CDD0101,Cisco AnyConnect Secure Mobility Client 3.1.02040
13EB0E5D9A49EAEF,Binjet 3.0.2
19E6043495A5B4DA,Edit Pad Pro
20EF367747C22564,Bullet Proof FTP 2010.75.0.75
22C4D315E96389E0,FastCopy 3.12
22CEFA022402327D,Meca Messenger 5.3.0.52
27ECECD8D89B6767,AIM 6.2.14.2 / 6.5.3.12 / 6.9.17.2
28C8B86DEAB549A1,Internet Explorer 8 / 9 / 10 (32-bit)
28EFB5B6D2E28389,EA Origin
30D23723BDD5D908,Digsby (Build 30140) (JL support)
31E8AC6B0784ED7D,Foxit Reader 9.4.0.16811
36F6BC3EFE1D99E0,Alt.Binz 0.25.0 (Build 27.09.2007)
44A50E6C87BC012,Classic FTP Plus 2.15
44A398496ACC926D,Adobe Premiere Pro CS5 (64-bit)
49DB7ED4F2703C22,LogMeIn Client 1.3.1835
50C5E019818564E3,Microsoft Excel Viewer 12.0.6219.1000
59E86071B87AC1C3,CuteFTP 8.3 (Build 8.3.4.0007)
59F56184C796CFD4,ACDSee Photo Manager 10 (Build 219)
65F7DD884B016AB2,LimeChat 2.39
70D9ADA92108D731,IrfanView 4.51 (x64)
70FFD305907C983B,7zip 18.05
73C6A317412687C2,Google Talk 1.0.0.104
75FDACD8330BAC18,AnyDesk
76F6F1BD18C19698,aMule 2.2.6
78F0AFB5BD4BB278,Microsoft Lync 2016 64-bit (Skype for Business)
83B03B46DCD30A0E,iTunes
83DD64E7FA560BD5,LibreOffice 5.1.0.3 Calc
84F066768A22CC4F,Adobe Photoshop CS5 (64-bit)
89B0D939F117F75C,Adobe Acrobat 9 Pro Extended (32-bit)
169B3BE0BC43D592,FastPictureViewer Professional 1.6 (Build 211)
174C2C811C286C58,InfraRecorder 0.53.0.0 64-bit
177AEB41DEB606AE,Adobe Photoshop CS6 (64 Bit)
188F5EC9D11DED56,Microsoft Edge (Chromium)
223BF0F360C6FEA5,I2P 0.8.8 (restartable)
271E609288E1210A,Microsoft Office Access 2010 x86
319F01BF9FE00F2D,Microsoft Access 2013/2016 x64
353E9052CCCBEC5D,Kindle for PC 1.21.0
386A2F6AA7967F36,EyeBrowse 2.7
454EF7DCA3BB16B2,Exodus 0.10.0.0
558C5BD9F906860A,BearShare Lite 5.2.5.1
560D789A6A42AD5A,DC++ 0.261 / 0.698 / 0.782 (r2402.1)
