PropertyStore FormatID\ID,Description
46588ae2-4cbc-4338-bbfc-139326986dce\4,SID
DABD30ED-0043-4789-A7F8-D013A4736622\100,ItemFolderPathDisplayNarrow
28636AA6-953D-11D2-B5D6-00C04FD918D0\0,FindData
28636aa6-953d-11d2-b5d6-00c04fd918d0\1,Network Resource
28636AA6-953D-11D2-B5D6-00C04FD918D0\2,DescriptionID
28636aa6-953d-11d2-b5d6-00c04fd918d0\3,Which Folder
28636aa6-953d-11d2-b5d6-00c04fd918d0\4,Network Location
28636AA6-953D-11D2-B5D6-00C04FD918D0\5,ComputerName
28636AA6-953D-11D2-B5D6-00C04FD918D0\6,NamespaceCLSID
28636AA6-953D-11D2-B5D6-00C04FD918D0\8,ItemPathDisplayNarrow
28636AA6-953D-11D2-B5D6-00C04FD918D0\9,PerceivedType
28636aa6-953d-11d2-b5d6-00c04fd918d0\10,Computer Simple Name
28636AA6-953D-11D2-B5D6-00C04FD918D0\11,ItemType
28636AA6-953D-11D2-B5D6-00C04FD918D0\12,FileCount
28636AA6-953D-11D2-B5D6-00C04FD918D0\14,TotalFileSize
28636aa6-953d-11d2-b5d6-00c04fd918d0\22,Max Stack Count
28636aa6-953d-11d2-b5d6-00c04fd918d0\23,List Description
28636AA6-953D-11D2-B5D6-00C04FD918D0\24,ParsingName
28636AA6-953D-11D2-B5D6-00C04FD918D0\25,SFGAOFlags
28636aa6-953d-11d2-b5d6-00c04fd918d0\26,Order
28636aa6-953d-11d2-b5d6-00c04fd918d0\27,Computer Description
28636AA6-953D-11D2-B5D6-00C04FD918D0\29,ContainedItems
28636AA6-953D-11D2-B5D6-00C04FD918D0\30,ParsingPath
28636aa6-953d-11d2-b5d6-00c04fd918d0\31,Network Provider
28636aa6-953d-11d2-b5d6-00c04fd918d0\32,Delegate ID List
28636AA6-953D-11D2-B5D6-00C04FD918D0\33,IsSendToTarget
28636aa6-953d-11d2-b5d6-00c04fd918d0\34,Hide On Desktop
28636aa6-953d-11d2-b5d6-00c04fd918d0\35,Network Places Default Name
28636aa6-953d-11d2-b5d6-00c04fd918d0\36,Storage System Type
28636AA6-953D-11D2-B5D6-00C04FD918D0\37,ItemSubType
9F4C2855-9F79-4B39-A8D0-E1D42DE1D5F3\2,AppUserModel RelaunchCommand
9F4C2855-9F79-4B39-A8D0-E1D42DE1D5F3\3,AppUserModel RelaunchIconResource
9F4C2855-9F79-4B39-A8D0-E1D42DE1D5F3\4,AppUserModel RelaunchDisplayNameResource
9F4C2855-9F79-4B39-A8D0-E1D42DE1D5F3\5,AppUserModel ID
9F4C2855-9F79-4B39-A8D0-E1D42DE1D5F3\6,AppUserModel IsDestListSeparator
