CLSID,ClassName
{0000031A-0000-0000-C000-000000000046},CLSID
{0000002F-0000-0000-C000-000000000046},CLSID CLSID_RecordInfo
{00000100-0000-0010-8000-00AA006D2EA4},CLSID DAO.DBEngine.36
{00000101-0000-0010-8000-00AA006D2EA4},CLSID DAO.PrivateDBEngine.36
{00000103-0000-0010-8000-00AA006D2EA4},CLSID DAO.TableDef.36
{00000104-0000-0010-8000-00AA006D2EA4},CLSID DAO.Field.36
{00000105-0000-0010-8000-00AA006D2EA4},CLSID DAO.Index.36
{00000106-0000-0010-8000-00AA006D2EA4},CLSID DAO.Group.36
{00000107-0000-0010-8000-00AA006D2EA4},CLSID DAO.User.36
{00000108-0000-0010-8000-00AA006D2EA4},CLSID DAO.QueryDef.36
{00000109-0000-0010-8000-00AA006D2EA4},CLSID DAO.Relation.36
{00000300-0000-0000-C000-000000000046},CLSID StdOleLink
{00000301-A8F2-4877-BA0A-FD2B6645FB94},CLSID PSFactoryBuffer
{00000303-0000-0000-C000-000000000046},CLSID FileMoniker
{00000304-0000-0000-C000-000000000046},CLSID ItemMoniker
{00000305-0000-0000-C000-000000000046},CLSID AntiMoniker
{00000306-0000-0000-C000-000000000046},CLSID PointerMoniker
{00000308-0000-0000-C000-000000000046},CLSID PackagerMoniker
{00000309-0000-0000-C000-000000000046},CLSID CompositeMoniker
{0000030B-0000-0000-C000-000000000046},CLSID DfMarshal
{00000315-0000-0000-C000-000000000046},CLSID Picture (Metafile)
{00000316-0000-0000-C000-000000000046},CLSID Picture (Device Independent Bitmap)
{00000319-0000-0000-C000-000000000046},CLSID Picture (Enhanced Metafile)
{0000031A-0000-0000-C000-000000000046},CLSID ClassMoniker
{0000031D-0000-0000-C000-000000000046},CLSID DCOMAccessControl
{00000320-0000-0000-C000-000000000046},CLSID PSFactoryBuffer
{00000327-0000-0000-C000-000000000046},CLSID objref
{0000032E-0000-0000-C000-000000000046},CLSID PipePSFactory
{00000507-0000-0010-8000-00AA006D2EA4},CLSID ADODB.Command
{0000050B-0000-0010-8000-00AA006D2EA4},CLSID ADODB.Parameter
{00000514-0000-0010-8000-00AA006D2EA4},CLSID ADODB.Connection
{0000051A-0000-0010-8000-00AA006D2EA4},CLSID ADO 6.0
{00000535-0000-0010-8000-00AA006D2EA4},CLSID ADODB.Recordset
{00000541-0000-0010-8000-00AA006D2EA4},CLSID ADODB.Error
{00000542-0000-0010-8000-00AA006D2EA4},CLSID ADODB Error Lookup Service
{00000560-0000-0010-8000-00AA006D2EA4},CLSID ADODB.Record
{00000566-0000-0010-8000-00AA006D2EA4},CLSID ADODB.Stream
{00000602-0000-0010-8000-00AA006D2EA4},CLSID ADOX.Catalog.6.0
{00000609-0000-0010-8000-00AA006D2EA4},CLSID ADOX.Table.6.0
{00000615-0000-0010-8000-00AA006D2EA4},CLSID ADOX.Group.6.0
{00000618-0000-0010-8000-00AA006D2EA4},CLSID ADOX.User.6.0
{0000061B-0000-0010-8000-00AA006D2EA4},CLSID ADOX.Column.6.0
{0000061E-0000-0010-8000-00AA006D2EA4},CLSID ADOX.Index.6.0
{00000621-0000-0010-8000-00AA006D2EA4},CLSID ADOX.Key.6.0
{00020000-0000-0000-C000-000000000046},CLSID Microsoft AVI Files
{00020001-0000-0000-C000-000000000046},CLSID AVI Compressed Stream
{00020003-0000-0000-C000-000000000046},CLSID Microsoft Wave File
{0002000D-0000-0000-C000-000000000046},CLSID IAVIStream & IAVIFile Proxy
{0002000F-0000-0000-C000-000000000046},CLSID ACM Compressed Audio Stream
{00020420-0000-0000-C000-000000000046},CLSID PSDispatch
{00020421-0000-0000-C000-000000000046},CLSID PSEnumVariant
{00020422-0000-0000-C000-000000000046},CLSID PSTypeInfo
{00020423-0000-0000-C000-000000000046},CLSID PSTypeLib
{00020424-0000-0000-C000-000000000046},CLSID PSOAInterface
{00020425-0000-0000-C000-000000000046},CLSID PSTypeComp
{00020C01-0000-0000-C000-000000000046},CLSID Sound (OLE2)
{00021400-0000-0000-C000-000000000046},CLSID Desktop
{00021401-0000-0000-C000-000000000046},CLSID Shortcut
{00021700-0000-0000-C000-000000000046},CLSID Microsoft Equation 2.0
{00022601-0000-0000-C000-000000000046},CLSID Media Clip
{00022602-0000-0000-C000-000000000046},CLSID Video Clip
{00022603-0000-0000-C000-000000000046},CLSID MIDI Sequence
{0002CE02-0000-0000-C000-000000000046},CLSID Microsoft Equation 3.0
{0002DF01-0000-0000-C000-000000000046},CLSID Internet Explorer(Ver 1.0)
{0002E005-0000-0000-C000-000000000046},CLSID Component Categories Manager
{0002E006-0000-0000-C000-000000000046},CLSID Component Categories Manager With Class Store
{0003000A-0000-0000-C000-000000000046},CLSID Bitmap Image
{0003000B-0000-0000-C000-000000000046},CLSID Microsoft Equation
{0003000D-0000-0000-C000-000000000046},CLSID Sound
{0003000E-0000-0000-C000-000000000046},CLSID Media Clip
{000C0126-0000-0000-C000-000000000046},CLSID Microsoft Office 12
{000C101C-0000-0000-C000-000000000046},CLSID Msi install server
{000C101D-0000-0000-C000-000000000046},CLSID Microsoft Windows Installer Message RPC
{000C103E-0000-0000-C000-000000000046},CLSID PSFactoryBuffer
{000C1090-0000-0000-C000-000000000046},CLSID Microsoft Windows Installer
{0010890e-8789-413c-adbc-48f5b511b3af},CLSID User Notification
{00220F32-85BA-4c70-ABCE-7723A8487BC2},CLSID Remote Tools for Visual Studio 8.0 Help 2.x Class
{0029598F-26FA-46F7-953B-86E2947AB19F},CLSID Microsoft.SqlServer.Replication.ComErrorRecord
{00393519-3A67-4507-A2B8-85146167ACA7},CLSID WPD Association LUA Virtual Factory
{003e0278-eca8-4bb8-a256-3689ca1c2600},CLSID Published Items Shell Service Object
{00425CFE-0812-45F1-9545-37F1274FF031},CLSID Border Class
{00597829-82CE-44d4-8B0B-40BE695973B5},CLSID WMPDMCServersManager Class
{0067FB90-7438-3C85-BC86-1D2DDB4D08FD},CLSID Microsoft.Office.Interop.Outlook.OlMeetingRecipientType
{0086c339-9c0e-4c09-9a2f-ff3d19a44a18},CLSID PSFactoryBuffer
{0095b496-f121-4256-96a0-09179828cc16},CLSID CImeProductObject_JK Class
{009f3b45-8a6b-4360-b997-b2a009a16402},CLSID XWizard Factory Generated Class (HomeGroup Update Passkey/Merge Hook Page)
{00A77FF7-A514-493e-B721-CDF8CB0F5B59},CLSID Computer Info Advise
{00B01B2E-B1FE-33A6-AD40-57DE8358DC7D},CLSID System.Security.Cryptography.HMACSHA1
{00BB2763-6A77-11D0-A535-00C04FD7D062},CLSID Microsoft AutoComplete
{00BB2764-6A77-11D0-A535-00C04FD7D062},CLSID Microsoft History AutoComplete List
{00BB2765-6A77-11D0-A535-00C04FD7D062},CLSID Microsoft Multiple AutoComplete List Container
